Image,target
"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[ 12   8   7]
  [ 17  12   9]
  [ 21  13  10]
  ...
  [ 85  65  54]
  [ 85  65  54]
  [ 91  71  60]]

 [[ 14   8   8]
  [ 20  12  10]
  [ 29  19  17]
  ...
  [ 82  60  47]
  [ 87  65  52]
  [ 67  45  32]]

 [[ 18   9  10]
  [ 23  13  12]
  [ 25  14  12]
  ...
  [100  76  64]
  [104  80  68]
  [ 76  52  40]]]",manipuri
"[[[ 9  8 16]
  [11 10 18]
  [14 13 21]
  ...
  [16 15 23]
  [11 10 18]
  [15  5 14]]

 [[11 10 18]
  [12 11 19]
  [14 13 21]
  ...
  [16 15 23]
  [11 10 18]
  [15  5 14]]

 [[12 11 19]
  [13 12 20]
  [14 13 21]
  ...
  [16 15 23]
  [11 10 18]
  [13  6 14]]

 ...

 [[32 21 27]
  [32 21 27]
  [34 23 29]
  ...
  [49 29 40]
  [66 30 42]
  [54 39 32]]

 [[30 19 23]
  [30 19 25]
  [30 19 27]
  ...
  [59 35 49]
  [52 17 39]
  [55 37 49]]

 [[26 15 19]
  [26 15 21]
  [28 17 25]
  ...
  [51 31 43]
  [41 12 32]
  [55 37 49]]]",bharatanatyam
"[[[20 16 13]
  [21 17 14]
  [21 17 14]
  ...
  [18 14 11]
  [18 14 11]
  [18 14 11]]

 [[20 16 13]
  [21 17 14]
  [21 17 14]
  ...
  [18 14 11]
  [18 14 11]
  [18 14 11]]

 [[21 17 14]
  [22 18 15]
  [21 17 14]
  ...
  [19 15 12]
  [18 14 11]
  [18 14 11]]

 ...

 [[15 11  8]
  [15 11  8]
  [14 10  7]
  ...
  [ 9  8  6]
  [ 8  7  5]
  [ 8  7  5]]

 [[14 13 11]
  [13 12 10]
  [13 12 10]
  ...
  [ 9  8  6]
  [ 8  7  5]
  [ 7  6  4]]

 [[13 12 10]
  [11 10  8]
  [13 12 10]
  ...
  [ 8  7  5]
  [ 8  7  5]
  [ 8  7  5]]]",odissi
"[[[ 25  19   5]
  [ 27  21   7]
  [ 25  19   5]
  ...
  [104  67  59]
  [163  31  18]
  [255 214 170]]

 [[ 24  18   4]
  [ 28  22   8]
  [ 24  18   4]
  ...
  [  0  24   0]
  [255 207 167]
  [134  43  22]]

 [[ 22  16   2]
  [ 27  21   7]
  [ 23  17   3]
  ...
  [177 255 185]
  [ 36  35   0]
  [241 112  83]]

 ...

 [[142  65  59]
  [ 51  13  10]
  [ 14   4   2]
  ...
  [ 87   7  18]
  [146   1   4]
  [215  45  10]]

 [[185  85  35]
  [167  68  27]
  [160  67  52]
  ...
  [ 75   0   0]
  [168  43  39]
  [193  26  20]]

 [[126  40   7]
  [130  47   5]
  [119  33   0]
  ...
  [ 92  11   8]
  [ 94   0   0]
  [110   0   0]]]",kathakali
"[[[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",odissi
"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[51 17  5]
  [35 12  0]
  [40 13  2]
  ...
  [43 17  4]
  [38 11  2]
  [45 16 20]]

 [[43 14  0]
  [45 16  0]
  [48 19  1]
  ...
  [58 23 17]
  [53 20 11]
  [39 16  8]]

 [[54 18  2]
  [39 16  0]
  [44 15  0]
  ...
  [55 18 10]
  [51 17  8]
  [47 14  7]]]",kathak
"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]]

 ...

 [[67 67 65]
  [67 67 65]
  [67 67 65]
  ...
  [ 5  5  5]
  [ 5  5  5]
  [ 5  5  5]]

 [[69 69 67]
  [69 69 67]
  [69 69 67]
  ...
  [ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]]

 [[72 72 70]
  [75 75 73]
  [76 76 74]
  ...
  [16 18 15]
  [15 17 14]
  [14 16 13]]]",sattriya
"[[[16 10 10]
  [13  7  7]
  [12  6  6]
  ...
  [10  1  4]
  [10  1  4]
  [12  3  6]]

 [[ 9  3  3]
  [ 7  1  1]
  [ 6  0  0]
  ...
  [12  6  8]
  [11  5  7]
  [ 6  0  2]]

 [[ 8  2  2]
  [ 7  1  1]
  [ 6  0  0]
  ...
  [ 6  2  3]
  [ 6  2  3]
  [ 7  3  4]]

 ...

 [[64 71 79]
  [61 68 76]
  [58 65 71]
  ...
  [37 40 47]
  [40 39 47]
  [39 33 45]]

 [[71 78 84]
  [68 75 81]
  [68 73 77]
  ...
  [40 40 48]
  [37 37 45]
  [39 39 47]]

 [[76 83 89]
  [73 80 86]
  [72 77 81]
  ...
  [40 40 48]
  [35 35 43]
  [37 37 45]]]",kuchipudi
"[[[  4   4   6]
  [  4   4   6]
  [  4   4   6]
  ...
  [  4   4   4]
  [  3   3   3]
  [  4   4   4]]

 [[  4   4   6]
  [  4   4   6]
  [  4   4   6]
  ...
  [  4   4   4]
  [  3   3   3]
  [  4   4   4]]

 [[  4   4   6]
  [  4   4   6]
  [  4   4   6]
  ...
  [  4   4   4]
  [  3   3   3]
  [  4   4   4]]

 ...

 [[166 138 124]
  [159 131 117]
  [153 125 111]
  ...
  [151 113 100]
  [149 111  98]
  [150 112  99]]

 [[126 115  97]
  [127 116  98]
  [134 123 105]
  ...
  [161 122 115]
  [159 120 113]
  [154 116 107]]

 [[149 124 104]
  [139 117  96]
  [149 124 104]
  ...
  [154 125 111]
  [143 114 100]
  [141 113 101]]]",sattriya
"[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [245 221 217]
  [155  35  63]
  [178 110 109]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [255 251 238]
  [161  53  69]
  [237 158 161]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [255 254 250]
  [135  57  70]
  [175  85  97]]]",kuchipudi
